song_name,artist_name,genre,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo
Kinonia,Manolis Mitsias,Paron,0.583,0.406,-8.209,0.0352,0.686,0.0,0.243,0.484,118.184
Farmaki,Manolis Mitsias,Paron,0.582,0.468,-8.801,0.0316,0.765,1.17e-06,0.0883,0.818,148.403
To Idio Kani,Manolis Mitsias,Paron,0.446,0.611,-6.664,0.0397,0.763,0.0,0.104,0.576,112.423
I Zoi Mou Oli,Giorgos Marinis,Megaloi Dimiourgoi,0.612,0.59,-6.896,0.0528,0.311,1.66e-05,0.377,0.521,144.084
Kai Ti Den Kano,Giorgos Marinis,Megaloi Dimiourgoi,0.382,0.645,-5.768,0.0353,0.124,2.69e-05,0.298,0.453,86.663
Ante Na Perasei Mera,Giorgos Marinis,Megaloi Dimiourgoi,0.571,0.653,-5.751,0.0369,0.633,0.0,0.106,0.537,145.938
Sto Stathmo Tou Monachou,Giorgos Marinis,Megaloi Dimiourgoi,0.635,0.651,-6.224,0.0289,0.521,5.85e-05,0.437,0.725,146.115
Oi Misoi Kaloi,Giorgos Marinis,Megaloi Dimiourgoi,0.617,0.668,-5.691,0.0453,0.368,0.0,0.457,0.894,145.141
Eida Ta Matia Sou Klamena,Giorgos Marinis,Megaloi Dimiourgoi,0.683,0.742,-5.754,0.03,0.211,2.52e-06,0.258,0.87,125.957
Misos,Giorgos Marinis,Megaloi Dimiourgoi,0.607,0.625,-5.324,0.0276,0.414,0.0,0.592,0.502,96.057
Itan Pseftika,Giorgos Marinis,Megaloi Dimiourgoi,0.62,0.648,-5.996,0.03,0.223,0.0,0.38,0.721,142.667
Ta Oneira Chtizontai,Giorgos Marinis,Megaloi Dimiourgoi,0.406,0.759,-4.759,0.0352,0.295,0.0,0.393,0.555,141.931
To Tholomeno Mou Mialo,Giorgos Marinis,Megaloi Dimiourgoi,0.624,0.532,-6.162,0.0489,0.712,6.13e-05,0.0927,0.803,143.82
Den Thelo Ti Simponia Kanenos,Giorgos Marinis,Megaloi Dimiourgoi,0.649,0.822,-6.003,0.0294,0.161,0.000664,0.132,0.631,89.88
Otan Simani I Ora,Akis Panou,I Megaliteres Epitihies Tou,0.466,0.238,-13.279,0.0309,0.817,0.0,0.12,0.406,100.307
Pira Ap' To Heri Sou Nero,Akis Panou,I Megaliteres Epitihies Tou,0.665,0.577,-11.873,0.033,0.757,4.83e-05,0.388,0.908,88.453
Den Kleo Gia Tora,Akis Panou,I Megaliteres Epitihies Tou,0.408,0.358,-13.189,0.0357,0.804,0.0,0.138,0.604,84.254
Mira Mou Giati M' Afinis,Akis Panou,I Megaliteres Epitihies Tou,0.555,0.331,-10.531,0.0339,0.74,3.52e-06,0.102,0.573,121.473
I Pio Megali Ora,Akis Panou,I Megaliteres Epitihies Tou,0.679,0.317,-11.407,0.057,0.896,2.85e-06,0.278,0.749,79.503
Tha Kliso Ta Matia,Akis Panou,I Megaliteres Epitihies Tou,0.741,0.324,-10.667,0.0403,0.685,0.0,0.221,0.751,118.268
I Proti Diskoli Stigmi,Akis Panou,I Megaliteres Epitihies Tou,0.522,0.434,-12.499,0.0505,0.72,0.0,0.179,0.67,126.84
Tou Kosmou To Perigelo,Akis Panou,I Megaliteres Epitihies Tou,0.767,0.333,-11.202,0.0391,0.621,0.0,0.0831,0.884,135.914
Roloi Koboloi,Akis Panou,I Megaliteres Epitihies Tou,0.768,0.3,-11.258,0.0388,0.724,0.0,0.259,0.841,73.79
Giati Kale Gitonissa,Akis Panou,I Megaliteres Epitihies Tou,0.748,0.455,-11.312,0.0418,0.632,0.000202,0.0677,0.768,115.617
Pes Mou Pappou,Akis Panou,I Megaliteres Epitihies Tou,0.719,0.44,-10.956,0.0389,0.707,0.0,0.0897,0.774,125.436
Thelo Na Ta Po,George Dalaras,Ta Hromata Tou Hronou II,0.369,0.419,-10.058,0.0347,0.68,0.000146,0.428,0.323,145.216
Ipia Ta Hili Sou Ke Hanome,Dimitris Mitropanos,Krifa,0.551,0.666,-6.253,0.0297,0.327,0.0,0.103,0.521,136.663
Prin Tora Pada,Various Artists,O Kosmos O Dikos Mou - Akis Panou,0.667,0.573,-6.013,0.039,0.892,7.85e-05,0.148,0.949,177.468
Thalassa Ti Mou 'His Kani,Various Artists,O Kosmos O Dikos Mou - Akis Panou,0.432,0.489,-6.048,0.0597,0.777,1.11e-06,0.153,0.934,89.731
Afou Tha Figis,Panos Gavalas,Apo Tous Thisavrous Ton 45 Strofon,0.589,0.363,-13.727,0.0362,0.97,0.00146,0.144,0.774,123.527
Ego Kala Sou Ta 'Lega,Stratos Dionisiou,Aftos ine o Stratos,0.632,0.774,-4.641,0.038,0.589,9.58e-05,0.0921,0.719,146.14
Giati Den Irthes Tote,Various Artists,O Kosmos O Dikos Mou - Akis Panou,0.681,0.64,-3.786,0.0424,0.789,0.000144,0.194,0.809,132.359
Toutos O Tafos - Remastered,Various Artists,O Kosmos O Dikos Mou - Akis Panou,0.591,0.596,-7.524,0.0387,0.834,0.0,0.304,0.496,116.268
Harokopou 1942 - 1953 (Stis Parages) - Remastered,Various Artists,O Kosmos O Dikos Mou - Akis Panou,0.702,0.569,-6.256,0.0388,0.69,1.76e-06,0.176,0.722,123.117
Mia Gineka,Various Artists,O Kosmos O Dikos Mou - Akis Panou,0.76,0.681,-4.692,0.0346,0.603,1.09e-06,0.0675,0.896,80.785
Pligomeno Pouli,Various Artists,O Kosmos O Dikos Mou - Akis Panou,0.606,0.445,-6.796,0.0356,0.814,3.2e-06,0.268,0.711,119.012
Eho Mia Varka Me Koupia,Various Artists,O Kosmos O Dikos Mou - Akis Panou,0.635,0.711,-5.985,0.0388,0.716,0.0,0.275,0.881,129.293
I Zoi Pikrothalassa,Various Artists,O Kosmos O Dikos Mou - Akis Panou,0.662,0.528,-5.636,0.0328,0.795,2.04e-05,0.337,0.875,140.915
Me Filia Meroni Mono,Various Artists,O Kosmos O Dikos Mou - Akis Panou,0.66,0.598,-4.641,0.0333,0.777,0.0207,0.081,0.756,135.741
Ora Trelli,Various Artists,O Kosmos O Dikos Mou - Akis Panou,0.517,0.607,-8.312,0.0372,0.395,3.48e-06,0.173,0.769,109.508
Tha Perasi Ki Afto,Various Artists,O Kosmos O Dikos Mou - Akis Panou,0.424,0.41,-5.248,0.0352,0.823,3.74e-06,0.2,0.496,154.31
San Zevgarosoun Dio Kaimi,Various Artists,O Kosmos O Dikos Mou - Akis Panou,0.8,0.588,-6.037,0.0342,0.566,1.56e-05,0.108,0.691,127.889
Tha Klapso Avrio,Various Artists,O Kosmos O Dikos Mou - Akis Panou,0.678,0.548,-8.767,0.0295,0.563,0.0,0.293,0.962,97.26
Kardia Mou Gennithikes Poulaki,Various Artists,O Kosmos O Dikos Mou - Akis Panou,0.682,0.552,-6.01,0.0298,0.822,6.9e-06,0.589,0.477,122.767
Giati;,Various Artists,O Kosmos O Dikos Mou - Akis Panou,0.597,0.492,-7.849,0.0296,0.54,2.85e-05,0.243,0.914,109.711
Tipota,Various Artists,O Kosmos O Dikos Mou - Akis Panou,0.716,0.781,-4.103,0.0298,0.774,6.13e-05,0.485,0.939,148.127
Olokliri Zoi,Various Artists,O Kosmos O Dikos Mou - Akis Panou,0.676,0.608,-8.475,0.0272,0.268,3.65e-06,0.568,0.904,98.329
Trava Me Ta Nera Mou,Various Artists,O Kosmos O Dikos Mou - Akis Panou,0.567,0.712,-5.497,0.0327,0.512,0.0,0.147,0.815,170.506
Tou Horismou I Ora,Various Artists,O Kosmos O Dikos Mou - Akis Panou,0.442,0.714,-4.61,0.066,0.788,4.85e-06,0.481,0.606,98.149
Mia Vradia Katarameni,Various Artists,O Kosmos O Dikos Mou - Akis Panou,0.587,0.521,-5.548,0.0344,0.976,0.00354,0.12,0.711,122.312
To Pedi Mou Apopse Pini,Various Artists,O Kosmos O Dikos Mou - Akis Panou,0.569,0.767,-5.415,0.0558,0.801,5.46e-06,0.421,0.939,136.017
O Dromos Ine Dromos - Remastered,Various Artists,O Kosmos O Dikos Mou - Akis Panou,0.721,0.634,-5.642,0.0502,0.794,0.0,0.154,0.769,111.954
Dos Mou Na Pio,Various Artists,O Kosmos O Dikos Mou - Akis Panou,0.741,0.578,-8.149,0.0354,0.732,0.000163,0.295,0.861,73.793
Na Iha To Kouragio,Various Artists,O Kosmos O Dikos Mou - Akis Panou,0.763,0.722,-5.254,0.0312,0.666,3.33e-05,0.149,0.878,92.246
Piretos - Live,Various Artists,O Kosmos O Dikos Mou - Akis Panou,0.411,0.645,-6.747,0.0604,0.658,0.0,0.48,0.549,100.375
Den In' O Kosmos Filos Mou - Remastered 2005,Various Artists,O Kosmos O Dikos Mou - Akis Panou,0.575,0.639,-6.167,0.0322,0.807,0.000122,0.0549,0.689,132.484
Kardia Mou Min Paraponiese - Remastered,Various Artists,O Kosmos O Dikos Mou - Akis Panou,0.724,0.515,-6.811,0.0262,0.508,0.0,0.133,0.687,89.275
Anixe Petro - Remastered,Various Artists,O Kosmos O Dikos Mou - Akis Panou,0.61,0.686,-4.756,0.0392,0.765,0.0,0.0704,0.772,155.322
Ke Tote S' Agapo,Various Artists,O Kosmos O Dikos Mou - Akis Panou,0.631,0.685,-5.181,0.0329,0.897,0.000135,0.335,0.541,101.879
Horis Aftin,Various Artists,O Kosmos O Dikos Mou - Akis Panou,0.5,0.641,-5.823,0.03,0.704,1.15e-05,0.285,0.697,129.906
Paranomi Agapi,Various Artists,O Kosmos O Dikos Mou - Akis Panou,0.602,0.442,-5.048,0.0324,0.726,0.0,0.321,0.677,78.824
Oute Ah Den Tha Po,Various Artists,O Kosmos O Dikos Mou - Akis Panou,0.564,0.746,-5.313,0.0292,0.809,0.0,0.101,0.877,152.937
Xanagennithika,Various Artists,O Kosmos O Dikos Mou - Akis Panou,0.706,0.666,-8.149,0.0375,0.637,1.95e-06,0.0535,0.911,148.562
Dio Alithies,Various Artists,O Kosmos O Dikos Mou - Akis Panou,0.518,0.553,-4.829,0.0268,0.393,0.0,0.154,0.6,102.33
Ximerose Kali Mou,Various Artists,O Kosmos O Dikos Mou - Akis Panou,0.735,0.725,-4.967,0.0298,0.779,0.0,0.106,0.964,100.779
Aharistia,Various Artists,O Kosmos O Dikos Mou - Akis Panou,0.593,0.531,-5.336,0.032,0.663,0.0,0.356,0.657,117.564
To Metro Tis Agapis,Various Artists,O Kosmos O Dikos Mou - Akis Panou,0.736,0.545,-6.109,0.0356,0.837,0.0,0.0742,0.888,119.39
Oute Spitha Oute Lexi,Various Artists,O Kosmos O Dikos Mou - Akis Panou,0.677,0.623,-6.121,0.0368,0.659,1.09e-06,0.133,0.909,154.132
Kita Me Sta Matia,Various Artists,O Kosmos O Dikos Mou - Akis Panou,0.667,0.624,-5.918,0.0553,0.583,0.0,0.0982,0.697,103.84
Mi Katevis Sto Limani,Various Artists,O Kosmos O Dikos Mou - Akis Panou,0.664,0.592,-5.087,0.0305,0.691,1.09e-05,0.117,0.744,94.211
Kati Paliodanika,Various Artists,O Kosmos O Dikos Mou - Akis Panou,0.77,0.789,-8.365,0.0411,0.455,2.94e-06,0.239,0.886,80.793
Rimagmeni Gitonia,Various Artists,O Kosmos O Dikos Mou - Akis Panou,0.577,0.53,-6.933,0.033,0.708,4.64e-05,0.37,0.682,120.515
Se Mia Xeni Kinonia,Various Artists,O Kosmos O Dikos Mou - Akis Panou,0.639,0.512,-8.074,0.0264,0.487,7.2e-06,0.0792,0.784,87.772
O Roubis,Various Artists,O Kosmos O Dikos Mou - Akis Panou,0.781,0.796,-6.92,0.0326,0.397,0.0,0.317,0.971,97.235
Ti Maistros Ti Vardaris,Various Artists,O Kosmos O Dikos Mou - Akis Panou,0.601,0.807,-5.447,0.0368,0.713,2.22e-05,0.153,0.903,122.157
Den Iparhi Kanis,Various Artists,O Kosmos O Dikos Mou - Akis Panou,0.653,0.444,-7.088,0.0348,0.877,0.000115,0.15,0.633,87.374
Ta Heria Tis Dropis,Various Artists,O Kosmos O Dikos Mou - Akis Panou,0.633,0.482,-4.614,0.0416,0.851,0.0,0.118,0.746,74.773
To Giataki Mou,Various Artists,O Kosmos O Dikos Mou - Akis Panou,0.68,0.789,-2.967,0.0472,0.771,6.69e-06,0.129,0.958,168.606
I Kikitsa,Various Artists,O Kosmos O Dikos Mou - Akis Panou,0.747,0.749,-5.387,0.0334,0.728,0.0,0.0588,0.861,126.048
Ekina Pou Den Legode,Various Artists,O Kosmos O Dikos Mou - Akis Panou,0.751,0.49,-5.293,0.034,0.836,3.36e-05,0.0837,0.907,123.062
Erotas Ston Akalipto,Alexandros Emmanouilidis,Fisai Allios Edo O Aeras,0.73,0.322,-14.073,0.0288,0.739,1.07e-05,0.103,0.494,106.025
Efiges,Alexandros Emmanouilidis,Fisai Allios Edo O Aeras,0.597,0.336,-13.057,0.0447,0.873,0.0,0.113,0.338,126.018
"Nero, Fotia Ke Sinnefo",Alexandros Emmanouilidis,Fisai Allios Edo O Aeras,0.599,0.469,-11.71,0.027,0.179,4.04e-06,0.104,0.499,112.033
Fisai Allios Edo O Aeras,Alexandros Emmanouilidis,Fisai Allios Edo O Aeras,0.317,0.336,-13.211,0.0405,0.858,0.000421,0.0993,0.266,52.85
Xenos Kaimos,Alexandros Emmanouilidis,Fisai Allios Edo O Aeras,0.538,0.331,-14.655,0.025,0.755,0.000302,0.207,0.406,79.971
"Matia Glika Mou, Hili Orea",Alexandros Emmanouilidis,Fisai Allios Edo O Aeras,0.473,0.323,-13.588,0.099,0.747,0.0,0.109,0.634,108.357
Potami Mavro,Alexandros Emmanouilidis,Fisai Allios Edo O Aeras,0.672,0.611,-10.093,0.0351,0.291,0.0,0.339,0.663,119.994
Horismenos Sta Dio,Alexandros Emmanouilidis,Fisai Allios Edo O Aeras,0.565,0.213,-13.903,0.0428,0.848,0.0,0.108,0.0909,114.771
Eparhia,Alexandros Emmanouilidis,Fisai Allios Edo O Aeras,0.601,0.19,-14.534,0.0294,0.767,0.0,0.088,0.203,135.012
Antidoto,Alexandros Emmanouilidis,Fisai Allios Edo O Aeras,0.657,0.448,-11.315,0.043,0.763,0.0,0.149,0.456,95.03
Danio,Alexandros Emmanouilidis,Fisai Allios Edo O Aeras,0.58,0.446,-13.594,0.0278,0.242,5.83e-06,0.134,0.293,136.037
Oplo Mistiko,Alexandros Emmanouilidis,Fisai Allios Edo O Aeras,0.222,0.256,-13.616,0.0346,0.735,5.47e-05,0.106,0.249,60.349
Lefko Skotadi,Alexandros Emmanouilidis,Fisai Allios Edo O Aeras,0.585,0.0866,-15.297,0.0365,0.974,6.33e-06,0.105,0.349,86.254
Edgar Allan Poe,Alkinoos Ioannidis,"O Dromos, O Chronos Kai O Ponos",0.512,0.26,-13.012,0.0484,0.807,0.0,0.145,0.198,114.903
Sto Telos Tou Mai,Alkinoos Ioannidis,"O Dromos, O Chronos Kai O Ponos",0.362,0.111,-22.016,0.0397,0.826,0.000408,0.126,0.281,100.072
Kathreftis,Alkinoos Ioannidis,"O Dromos, O Chronos Kai O Ponos",0.489,0.365,-13.477,0.0526,0.463,0.000186,0.0826,0.275,120.196
Miso Fengari,Alkinoos Ioannidis,"O Dromos, O Chronos Kai O Ponos",0.217,0.123,-15.811,0.0535,0.777,0.00726,0.071,0.21,82.21
Echo Mia Lexi,Alkinoos Ioannidis,"O Dromos, O Chronos Kai O Ponos",0.659,0.591,-12.343,0.0876,0.0109,2.18e-05,0.263,0.48,102.373
Osa I Agapi Oneirevetai,Alkinoos Ioannidis,"O Dromos, O Chronos Kai O Ponos",0.562,0.338,-11.983,0.0638,0.722,0.0,0.161,0.538,111.324
"O Dromos, O Chronos Kai O Ponos",Alkinoos Ioannidis,"O Dromos, O Chronos Kai O Ponos",0.524,0.134,-15.134,0.0351,0.473,2.09e-05,0.101,0.0754,76.54
Vythos,Alkinoos Ioannidis,"O Dromos, O Chronos Kai O Ponos",0.519,0.0984,-15.806,0.0978,0.919,0.0,0.163,0.148,119.169
Stagones - Aftoschediasmos,Alkinoos Ioannidis,"O Dromos, O Chronos Kai O Ponos",0.132,0.103,-18.634,0.0427,0.973,0.885,0.0934,0.249,74.485
Fos,Alkinoos Ioannidis,"O Dromos, O Chronos Kai O Ponos",0.38,0.164,-14.837,0.0374,0.896,0.00631,0.115,0.371,107.98
Stagones Sto Gialo,Alkinoos Ioannidis,"O Dromos, O Chronos Kai O Ponos",0.458,0.48,-12.613,0.0818,0.657,1.54e-05,0.0756,0.378,157.912
Mavri Petalouda,Alkinoos Ioannidis,"O Dromos, O Chronos Kai O Ponos",0.549,0.232,-12.692,0.0413,0.738,0.00129,0.0914,0.232,121.78
Isychia,Alkinoos Ioannidis,"O Dromos, O Chronos Kai O Ponos",0.471,0.176,-16.952,0.0433,0.6,0.00193,0.184,0.0955,116.812
