song_name,artist_name,genre,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo
Hamogelo Ma Den Gelo - Live,Haris Alexiou,I Alexiou Tragoudai Hatzi (Remastered),0.483,0.695,-7.92,0.289,0.663,0.00129,0.814,0.756,182.274
Stasou Pou Pas - Live,Haris Alexiou,I Alexiou Tragoudai Hatzi (Remastered),0.448,0.617,-9.217,0.0942,0.719,1.01e-05,0.572,0.378,74.526
Ki Istera Ki Istera - Live,Haris Alexiou,I Alexiou Tragoudai Hatzi (Remastered),0.455,0.514,-9.048,0.0416,0.705,0.0,0.437,0.659,103.012
Hasame - Live,Haris Alexiou,I Alexiou Tragoudai Hatzi (Remastered),0.475,0.489,-10.154,0.0361,0.702,0.000384,0.31,0.492,76.233
Min Zitas - Live,Haris Alexiou,I Alexiou Tragoudai Hatzi (Remastered),0.404,0.716,-10.365,0.213,0.676,3.05e-06,0.531,0.936,168.005
Spoudei Anthropi Alla - Live,Haris Alexiou,I Alexiou Tragoudai Hatzi (Remastered),0.391,0.826,-9.779,0.338,0.157,0.0,0.735,0.53,54.401
Oso Kratai Afti I Apati - Live,Haris Alexiou,I Alexiou Tragoudai Hatzi (Remastered),0.537,0.723,-8.659,0.0873,0.651,7.49e-05,0.956,0.614,112.867
Den Kano Piso - Live,Haris Alexiou,I Alexiou Tragoudai Hatzi (Remastered),0.425,0.805,-9.506,0.834,0.755,0.0,0.691,0.518,80.231
Kaliba - Live,Haris Alexiou,I Alexiou Tragoudai Hatzi (Remastered),0.606,0.764,-5.1,0.14,0.704,0.0,0.716,0.733,77.853
"Zita Mou O,ti Thes - Live",Haris Alexiou,I Alexiou Tragoudai Hatzi (Remastered),0.622,0.718,-8.867,0.0684,0.619,0.0,0.796,0.587,119.963
Katsiava - Live,Haris Alexiou,I Alexiou Tragoudai Hatzi (Remastered),0.508,0.793,-6.362,0.276,0.666,0.0,0.452,0.617,135.454
Bi Paesko - Live,Haris Alexiou,I Alexiou Tragoudai Hatzi (Remastered),0.421,0.89,-6.143,0.62,0.668,0.0,0.818,0.662,176.31
Gremismena Spitia - Live,Haris Alexiou,I Alexiou Tragoudai Hatzi (Remastered),0.46,0.517,-11.694,0.0526,0.832,7.63e-06,0.665,0.503,103.722
Hartino To Feggaraki - Live,Haris Alexiou,I Alexiou Tragoudai Hatzi (Remastered),0.368,0.228,-14.622,0.0766,0.916,8.36e-06,0.178,0.0798,137.482
To Gramma - Live,Haris Alexiou,I Alexiou Tragoudai Hatzi (Remastered),0.435,0.451,-12.948,0.385,0.888,0.0,0.929,0.766,94.128
O Stratis - Live,Haris Alexiou,I Alexiou Tragoudai Hatzi (Remastered),0.754,0.68,-6.076,0.0509,0.794,0.0,0.605,0.815,105.442
Tzamaika - Live,Haris Alexiou,I Alexiou Tragoudai Hatzi (Remastered),0.541,0.605,-6.842,0.0309,0.847,0.0,0.526,0.696,107.296
Pare Ena Kohili Apo To Egeo - Live,Haris Alexiou,I Alexiou Tragoudai Hatzi (Remastered),0.519,0.417,-8.564,0.0556,0.882,0.0,0.196,0.561,123.704
Kitrini Poli - Live,Haris Alexiou,I Alexiou Tragoudai Hatzi (Remastered),0.405,0.377,-11.379,0.0463,0.889,0.0,0.23,0.296,79.38
Nahan Oli I Anthropi Mia Agapi - Live,Haris Alexiou,I Alexiou Tragoudai Hatzi (Remastered),0.366,0.421,-8.32,0.0709,0.851,0.0,0.523,0.444,93.285
To Minore Tis Avgis - Live,Haris Alexiou,I Alexiou Tragoudai Hatzi (Remastered),0.219,0.342,-11.291,0.0402,0.932,0.0,0.41,0.326,170.386
Den Variese Aderfe - Live,Haris Alexiou,I Alexiou Tragoudai Hatzi (Remastered),0.574,0.941,-6.907,0.558,0.742,0.0,0.687,0.693,124.277
Dos' Mou Mia Mera,Haris Alexiou,To Paichnidi Tis Agapis,0.541,0.212,-14.565,0.03,0.82,0.00223,0.0879,0.0874,85.379
Romantzo,Haris Alexiou,To Paichnidi Tis Agapis,0.518,0.31,-13.091,0.0306,0.53,0.0,0.0826,0.169,99.321
Cheimonas,Haris Alexiou,To Paichnidi Tis Agapis,0.589,0.349,-11.607,0.0306,0.701,0.000342,0.141,0.136,111.581
Enas Fantaros S' Ena Treno,Haris Alexiou,To Paichnidi Tis Agapis,0.633,0.399,-9.42,0.0334,0.701,9.89e-06,0.311,0.343,136.015
Oi Dikoi Mou Xenoi,Haris Alexiou,To Paichnidi Tis Agapis,0.463,0.285,-12.632,0.0416,0.751,0.0,0.129,0.22,145.148
I Raptomichani,Haris Alexiou,To Paichnidi Tis Agapis,0.574,0.313,-11.144,0.0306,0.674,1.75e-06,0.0918,0.243,77.815
Mitera Fili Mou Palia,Haris Alexiou,To Paichnidi Tis Agapis,0.309,0.286,-12.16,0.0306,0.652,5.96e-06,0.158,0.162,174.709
Rempetikos Skopos,Haris Alexiou,To Paichnidi Tis Agapis,0.751,0.56,-7.783,0.0389,0.0737,0.0,0.0572,0.455,156.271
Ela Konta Mou Apopse,Haris Alexiou,To Paichnidi Tis Agapis,0.607,0.262,-12.651,0.0312,0.429,0.000418,0.167,0.0465,122.412
I Palia Agora,Haris Alexiou,To Paichnidi Tis Agapis,0.841,0.488,-7.655,0.031,0.249,0.0,0.138,0.704,104.99
Chamena Chronia,Haris Alexiou,To Paichnidi Tis Agapis,0.643,0.419,-9.687,0.0325,0.023,0.0,0.152,0.437,120.013
Apochairetismos,Haris Alexiou,To Paichnidi Tis Agapis,0.133,0.165,-15.223,0.0365,0.911,0.307,0.106,0.074,161.575
To Treno Fevgi Stis Ohto,Haris Alexiou,Ta Doueta Tis Haroulas,0.298,0.097,-20.614,0.0393,0.963,0.000713,0.109,0.282,168.466
Kokkino Garifallo,Haris Alexiou,Ta Doueta Tis Haroulas,0.359,0.148,-18.433,0.0389,0.931,1.99e-05,0.0712,0.128,116.556
Blexan I Grammes Mas,Haris Alexiou,Ta Doueta Tis Haroulas,0.52,0.403,-12.86,0.0295,0.522,0.0,0.0776,0.302,132.86
Kaliba,Haris Alexiou,Ta Doueta Tis Haroulas,0.606,0.552,-10.663,0.107,0.712,0.0,0.204,0.778,77.915
Tzamaika,Haris Alexiou,Ta Doueta Tis Haroulas,0.582,0.254,-14.474,0.0391,0.761,2.73e-05,0.14,0.635,120.765
Roz - Live,Haris Alexiou,Ta Doueta Tis Haroulas,0.626,0.56,-9.854,0.0316,0.744,0.000402,0.362,0.903,133.413
Mes' Sta Dio Tis Matia,Haris Alexiou,Ta Doueta Tis Haroulas,0.582,0.473,-12.046,0.0433,0.327,2.71e-05,0.16,0.186,165.864
Chronia (Anni),Haris Alexiou,Ta Doueta Tis Haroulas,0.59,0.708,-12.617,0.138,0.602,0.000118,0.942,0.734,92.233
Tha Metho Ke Tha Ta Spao (Belalis Karsilamas),Haris Alexiou,Ta Tsilika,0.646,0.596,-6.045,0.0327,0.397,0.0,0.126,0.833,114.705
As Mi Ximerone Pote,Haris Alexiou,Ta Tsilika,0.355,0.474,-7.494,0.0313,0.575,7.58e-06,0.144,0.4,174.523
Dio Mages Mes' Sti Filaki,Haris Alexiou,Ta Tsilika,0.714,0.449,-7.681,0.0357,0.49,0.0,0.0899,0.712,109.052
Krasopino,Haris Alexiou,Ta Tsilika,0.742,0.464,-6.41,0.0313,0.534,0.0,0.0736,0.726,92.217
Magiko,Haris Alexiou,Ta Tsilika,0.713,0.649,-5.631,0.026,0.446,0.0,0.162,0.962,100.842
M' Eblexe Enas Mortis,Haris Alexiou,Ta Tsilika,0.631,0.429,-6.895,0.0318,0.408,0.0,0.291,0.688,82.742
Mi Mou Les Pos Den Ponao,Haris Alexiou,Ta Tsilika,0.795,0.667,-6.896,0.0263,0.389,0.0,0.0797,0.922,100.381
Bournovalios Manes,Haris Alexiou,Ta Tsilika,0.428,0.453,-6.814,0.0314,0.7,0.0,0.0768,0.382,86.373
O Magas,Haris Alexiou,Ta Tsilika,0.459,0.586,-5.923,0.086,0.26,0.0,0.0919,0.827,202.434
Se Gelasane,Haris Alexiou,Ta Tsilika,0.757,0.543,-7.262,0.0258,0.405,0.0,0.144,0.88,94.927
Patoma,Haris Alexiou,Psithyroi,0.515,0.0906,-14.025,0.0343,0.986,0.000126,0.13,0.204,92.583
Kalosorisma - Live,George Dalaras,Iparhi Logos (Live),0.326,0.486,-14.357,0.0776,0.139,0.0,0.687,0.308,151.575
An Iparhi Logos - Live,George Dalaras,Iparhi Logos (Live),0.498,0.687,-10.957,0.0486,0.328,0.0,0.877,0.559,98.897
Ti Pathos - Live,George Dalaras,Iparhi Logos (Live),0.534,0.479,-13.01,0.0377,0.45,0.0,0.93,0.526,93.048
Canzone Per Te - Live,George Dalaras,Iparhi Logos (Live),0.41,0.426,-12.764,0.0529,0.565,0.0,0.852,0.382,90.417
O Paliatsos Ke O Listis - Live,George Dalaras,Iparhi Logos (Live),0.548,0.918,-9.545,0.0731,0.00637,0.000435,0.96,0.621,133.303
Gela Pouli Mou - Live,George Dalaras,Iparhi Logos (Live),0.227,0.663,-12.446,0.271,0.494,0.0,0.925,0.309,106.779
Erotiko Kalesma,Harrys Katsimichas,I Monaxia Tou Shinovati,0.234,0.257,-13.373,0.0329,0.87,0.0203,0.106,0.116,117.524
Ela Sto Oniro Mou,Harrys Katsimichas,I Monaxia Tou Shinovati,0.514,0.576,-11.753,0.043,0.472,0.0,0.177,0.633,84.034
Den Ftes Esi,Harrys Katsimichas,I Monaxia Tou Shinovati,0.613,0.414,-12.759,0.0284,0.301,0.000167,0.189,0.403,131.937
Ta Hilia Gramata,Harrys Katsimichas,I Monaxia Tou Shinovati,0.627,0.483,-9.912,0.0452,0.709,5.44e-05,0.0932,0.613,109.967
To Oreo Kalokeri,Harrys Katsimichas,I Monaxia Tou Shinovati,0.516,0.318,-13.142,0.0354,0.572,0.00519,0.204,0.378,123.845
Kalo Taxidi,Harrys Katsimichas,I Monaxia Tou Shinovati,0.671,0.546,-12.034,0.0346,0.181,0.000709,0.0647,0.884,143.936
Gimni Skia,Harrys Katsimichas,I Monaxia Tou Shinovati,0.57,0.424,-11.784,0.0322,0.417,9.75e-05,0.416,0.343,133.894
Exegersi,Harrys Katsimichas,I Monaxia Tou Shinovati,0.542,0.701,-11.135,0.0563,0.00954,0.0115,0.122,0.27,95.914
I Monaxia Tou Shinovati,Harrys Katsimichas,I Monaxia Tou Shinovati,0.447,0.474,-12.517,0.0658,0.262,0.00229,0.0959,0.495,169.898
Don't Worry (Be Happy),Harrys Katsimichas,I Monaxia Tou Shinovati,0.591,0.365,-12.756,0.0611,0.338,0.00533,0.93,0.797,138.207
Pexe Vrahni Mou Fisarmonika,Haris & Panos Katsimihas,Zesta Pota,0.29,0.184,-13.747,0.0363,0.922,0.0,0.114,0.171,104.01
Prosopikes Optasies,Haris & Panos Katsimihas,Zesta Pota,0.582,0.724,-9.036,0.0381,0.39,1.08e-06,0.0681,0.655,89.624
Fanis,Haris & Panos Katsimihas,Zesta Pota,0.392,0.465,-9.217,0.032,0.648,0.0,0.174,0.37,95.269
Tis Kiriakes Apo Pedi Tis Sihenomouna,Haris & Panos Katsimihas,Zesta Pota,0.557,0.263,-10.288,0.0284,0.751,4.58e-06,0.118,0.132,112.79
Mia Vradia Sto Louki,Haris & Panos Katsimihas,Zesta Pota,0.516,0.546,-9.114,0.0321,0.666,1.58e-06,0.0888,0.493,83.234
Rita Ritaki,Haris & Panos Katsimihas,Zesta Pota,0.685,0.586,-7.598,0.06,0.624,1.47e-05,0.131,0.256,142.64
Gia Ena Kommati Psomi,Haris & Panos Katsimihas,Zesta Pota,0.582,0.485,-8.178,0.027,0.709,0.000518,0.137,0.343,128.637
Ipogio,Haris & Panos Katsimihas,Zesta Pota,0.393,0.446,-10.767,0.0558,0.82,9.59e-05,0.0813,0.525,85.029
Koritsia Tis Signomis,Haris & Panos Katsimihas,Zesta Pota,0.511,0.23,-13.321,0.031,0.846,9.76e-06,0.0945,0.273,128.077
Gela Pouli Mou,Haris & Panos Katsimihas,Zesta Pota,0.498,0.388,-9.211,0.0286,0.627,0.0,0.205,0.206,113.124
O Megalos Adelfos,Haris Katsimihas,Tripies Simees,0.597,0.74,-8.102,0.0327,0.0847,8.66e-05,0.174,0.437,89.981
Tripies Simees,Haris Katsimihas,Tripies Simees,0.525,0.532,-7.969,0.0293,0.156,8.46e-06,0.201,0.501,110.007
Ta Tragoudia Mou Ine Kapos,Haris Katsimihas,Tripies Simees,0.49,0.876,-5.17,0.0386,0.000623,9.89e-05,0.343,0.794,147.003
An Ise Theos,Haris Katsimihas,Tripies Simees,0.518,0.467,-7.616,0.0296,0.0433,0.0,0.104,0.441,126.033
Ego Ithela Na Gino Dentro,Haris Katsimihas,Tripies Simees,0.459,0.533,-9.182,0.0307,0.498,3.05e-06,0.167,0.338,114.965
Gineka Tis Psichis Mou,Haris Katsimihas,Tripies Simees,0.372,0.113,-14.749,0.0384,0.893,0.000336,0.121,0.0799,119.866
Kerinia,Haris Katsimihas,Tripies Simees,0.431,0.471,-7.949,0.0308,0.201,0.0,0.317,0.388,114.236
Poios Ti Zoi Mou,Haris Katsimihas,Tripies Simees,0.606,0.642,-9.314,0.0344,0.0771,0.00016,0.0597,0.615,85.541
Parathiro Sto Fos,Haris Katsimihas,Tripies Simees,0.413,0.322,-9.387,0.0301,0.81,0.0474,0.114,0.178,111.075
Pios Ti Zoi Mou,Haris Katsimihas,Tripies Simees,0.233,0.218,-12.388,0.0386,0.797,4.21e-05,0.105,0.0838,174.241
Nihtose Nihta,Haris & Panos Katsimihas,Haris & Panos Katsimihas Compilation,0.51,0.543,-8.112,0.0265,0.0787,1.97e-06,0.196,0.475,79.534
Shima Logou,Haris & Panos Katsimihas,Haris & Panos Katsimihas Compilation,0.371,0.414,-7.282,0.0328,0.618,0.0,0.13,0.22,80.358
I Synelefsi Ton Pontikon,Haris & Panos Katsimihas,Haris & Panos Katsimihas Compilation,0.659,0.532,-5.958,0.0307,0.199,0.0,0.121,0.537,99.938
Kataggelo,Haris & Panos Katsimihas,Haris & Panos Katsimihas Compilation,0.72,0.62,-6.196,0.0445,0.148,0.0,0.369,0.642,132.048
Omorfi Mera,Haris & Panos Katsimihas,Haris & Panos Katsimihas Compilation,0.516,0.681,-7.227,0.0274,0.386,0.00263,0.235,0.344,89.958
Santorini,Haris & Panos Katsimihas,Haris & Panos Katsimihas Compilation,0.483,0.65,-6.853,0.0326,0.314,4.3e-06,0.112,0.46,125.151
Markos Kai Anna,Haris & Panos Katsimihas,Haris & Panos Katsimihas Compilation,0.478,0.478,-8.244,0.0289,0.314,0.0,0.239,0.249,130.141
Mi Girisis,Haris & Panos Katsimihas,Haris & Panos Katsimihas Compilation,0.538,0.503,-7.514,0.0268,0.0198,1.48e-05,0.147,0.081,131.895
Amorgiano Mou Perama,Haris & Panos Katsimihas,Haris & Panos Katsimihas Compilation,0.532,0.532,-6.353,0.0338,0.493,0.0,0.27,0.678,82.022
An Yparhi Logos,Haris & Panos Katsimihas,Haris & Panos Katsimihas Compilation,0.67,0.758,-6.345,0.0313,0.139,0.0,0.261,0.694,100.987
Anoites Agapes,Haris & Panos Katsimihas,Haris & Panos Katsimihas Compilation,0.448,0.428,-8.024,0.0297,0.456,0.0,0.126,0.0861,128.045
Dos Mou To Psema Sou,Haris & Panos Katsimihas,Haris & Panos Katsimihas Compilation,0.455,0.746,-7.169,0.0337,0.17,4.98e-06,0.363,0.606,92.933
Don'T Worry Be Happy,Haris & Panos Katsimihas,Haris & Panos Katsimihas Compilation,0.549,0.674,-7.013,0.0513,0.195,0.000239,0.181,0.622,132.117
Tou Erota,Haris & Panos Katsimihas,Haris & Panos Katsimihas Compilation,0.298,0.681,-6.442,0.0463,0.512,0.000125,0.0958,0.0552,135.871
Bleib Treu Cafe - Berlin 1976,Haris & Panos Katsimihas,Haris & Panos Katsimihas Compilation,0.35,0.388,-9.264,0.0318,0.116,8.05e-05,0.103,0.229,121.391
To Domatio,Haris & Panos Katsimihas,Haris & Panos Katsimihas Compilation,0.436,0.457,-8.267,0.0308,0.186,0.0,0.117,0.103,117.631
O Paliatsos Ki O Listis,Haris & Panos Katsimihas,Haris & Panos Katsimihas Compilation,0.605,0.721,-6.646,0.0285,0.00226,0.000179,0.227,0.76,129.986
Louloudi Tou Dasous,Haris & Panos Katsimihas,Haris & Panos Katsimihas Compilation,0.551,0.616,-6.408,0.0373,0.0323,0.000119,0.329,0.511,130.87
Otan Sou Leo Portokali Na Vgenis,Haris & Panos Katsimihas,Haris & Panos Katsimihas Compilation,0.283,0.366,-8.812,0.0294,0.623,0.000266,0.111,0.337,143.717
Theofilos Hadjimihail,Haris & Panos Katsimihas,Haris & Panos Katsimihas Compilation,0.375,0.305,-9.784,0.0324,0.83,1.7e-05,0.103,0.179,112.782
Torpedo Blues,Haris & Panos Katsimihas,Haris & Panos Katsimihas Compilation,0.623,0.47,-9.564,0.0309,0.405,0.0,0.378,0.444,122.473
I'M Calling Earth,Haris & Panos Katsimihas,Haris & Panos Katsimihas Compilation,0.427,0.627,-9.046,0.0369,0.466,0.000806,0.101,0.34,89.945
Mitera Signomi Pou Den Pantreftika Esena,Haris & Panos Katsimihas,Haris & Panos Katsimihas Compilation,0.352,0.285,-10.872,0.038,0.797,0.0,0.0958,0.205,50.479
I Ehemythia,Haris & Panos Katsimihas,"Haris & Panos Katsimihas Compilation, Vol. 2",0.275,0.239,-11.515,0.0335,0.71,2.79e-06,0.103,0.217,133.294
Kokkinos Horos,Haris & Panos Katsimihas,"Haris & Panos Katsimihas Compilation, Vol. 2",0.543,0.702,-8.206,0.0398,0.0169,4.12e-06,0.11,0.741,138.796
I Veziropoula Me To Sazi,Haris & Panos Katsimihas,"Haris & Panos Katsimihas Compilation, Vol. 2",0.462,0.538,-12.029,0.033,0.452,0.0975,0.111,0.462,88.548
Simata Mors,Haris & Panos Katsimihas,"Haris & Panos Katsimihas Compilation, Vol. 2",0.598,0.362,-10.227,0.0306,0.65,1.01e-06,0.16,0.288,113.623
To Koritsi Me Ta Spirta,Haris & Panos Katsimihas,"Haris & Panos Katsimihas Compilation, Vol. 2",0.35,0.306,-9.734,0.0338,0.822,0.0,0.384,0.559,81.207
Palia Kalokeria,Harrys Katsimichas,Tis Agapis Maheria,0.614,0.179,-15.531,0.0315,0.925,0.00268,0.0998,0.399,92.874
Etsi Trelenese,Harrys Katsimichas,Tis Agapis Maheria,0.8,0.674,-11.449,0.0549,0.0666,0.000313,0.0573,0.68,97.014
Ta Logia Ta Megala Pou Ho Pi,Harrys Katsimichas,Tis Agapis Maheria,0.448,0.693,-12.804,0.371,0.683,0.000358,0.978,0.427,182.732
I Tsatsara,Harrys Katsimichas,Tis Agapis Maheria,0.626,0.363,-12.171,0.0442,0.555,1.8e-05,0.116,0.428,129.792
Ta Rempetika Mas Mes Sti Strata,Sotiria Bellou,Laika Proastia,0.676,0.637,-4.997,0.0473,0.549,0.0,0.122,0.67,106.27
Plateia Vathis,Sotiria Bellou,Laika Proastia,0.4,0.604,-6.789,0.0358,0.513,0.0,0.145,0.352,94.431
Metaxourgeio,Sotiria Bellou,Laika Proastia,0.453,0.453,-6.952,0.0338,0.757,0.0,0.0926,0.277,128.65
Kaisariani,Sotiria Bellou,Laika Proastia,0.556,0.624,-5.7,0.0381,0.616,0.0,0.0713,0.553,126.633
Skopeftirio,Sotiria Bellou,Laika Proastia,0.597,0.561,-5.117,0.0288,0.682,0.0,0.0523,0.579,100.649
O Ageras Stous Dromous,Sotiria Bellou,Laika Proastia,0.408,0.551,-8.449,0.03,0.612,4.08e-06,0.304,0.483,112.71
Min Klais,Sotiria Bellou,Laika Proastia,0.389,0.503,-7.061,0.0312,0.498,1.03e-06,0.082,0.313,132.096
Stis Laspomenes Strates,Sotiria Bellou,Laika Proastia,0.61,0.68,-4.234,0.0304,0.471,0.0,0.103,0.748,132.12
Kapoio Vrady T' Oneiro Mou,Sotiria Bellou,Laika Proastia,0.483,0.629,-3.867,0.0496,0.757,0.0,0.0916,0.544,112.02
Akronafplia,Sotiria Bellou,Laika Proastia,0.659,0.672,-4.592,0.0322,0.504,0.0,0.043,0.595,125.626
Eipa Na Sou Steilo,Sotiria Bellou,Laika Proastia,0.35,0.396,-8.757,0.0321,0.705,3.18e-06,0.0867,0.661,117.19
Laika Proastia,Sotiria Bellou,Laika Proastia,0.439,0.425,-8.612,0.0377,0.723,0.0,0.177,0.449,83.836
Tha Se Xanavro Stous Baxedes,Alkistis Protopsalti,Grammata Sto Makrygianni Kai Alla Laika,0.502,0.647,-5.745,0.03,0.696,0.0,0.0671,0.767,109.729
Htypo Tin Porta Tou Theou,Alkistis Protopsalti,Grammata Sto Makrygianni Kai Alla Laika,0.632,0.508,-6.551,0.0287,0.635,0.0,0.313,0.798,140.406
Eihes Thalasses Sta Matia,Alkistis Protopsalti,Grammata Sto Makrygianni Kai Alla Laika,0.656,0.577,-7.464,0.0307,0.73,3.84e-06,0.156,0.767,136.164
Stin Ithaki,Alkistis Protopsalti,Grammata Sto Makrygianni Kai Alla Laika,0.362,0.362,-10.275,0.0306,0.86,0.0,0.0928,0.293,184.123
Osoi Gyrisoun Tsakismenoi,Alkistis Protopsalti,Grammata Sto Makrygianni Kai Alla Laika,0.802,0.561,-6.439,0.0353,0.482,0.0,0.0806,0.897,115.575
Mporeis An Theleis,Alkistis Protopsalti,Grammata Sto Makrygianni Kai Alla Laika,0.506,0.433,-8.352,0.0354,0.909,0.0,0.105,0.599,116.95
Ti Tragoudi Na Sou Grapso,Alkistis Protopsalti,Grammata Sto Makrygianni Kai Alla Laika,0.272,0.406,-8.551,0.0298,0.822,0.0,0.124,0.43,174.788
Ta Laika Tragoudia Mou,Alkistis Protopsalti,Grammata Sto Makrygianni Kai Alla Laika,0.435,0.52,-6.188,0.0327,0.743,0.0,0.122,0.529,147.365
Deilina Sti Sparti,Alkistis Protopsalti,Grammata Sto Makrygianni Kai Alla Laika,0.305,0.392,-7.29,0.0298,0.923,0.0,0.144,0.635,181.903
Se Kapoio Magazi,Alkistis Protopsalti,Grammata Sto Makrygianni Kai Alla Laika,0.7,0.504,-7.64,0.0361,0.714,0.0,0.118,0.746,128.48
Aftes Oi Xenes Agkalies,Alkistis Protopsalti,Grammata Sto Makrygianni Kai Alla Laika,0.4,0.383,-8.159,0.0264,0.591,5.8e-06,0.0654,0.392,95.971
Mou 'Pes Fevgeis Metanastis,Alkistis Protopsalti,Grammata Sto Makrygianni Kai Alla Laika,0.434,0.538,-6.922,0.0406,0.669,0.0,0.112,0.592,105.732
O Erotas,Ilias Andriopoulos,Prosanatolismoi,0.409,0.296,-10.002,0.0303,0.903,0.0,0.082,0.673,103.606
Floisvos Fili,Ilias Andriopoulos,Prosanatolismoi,0.174,0.315,-10.779,0.034,0.908,0.000198,0.0905,0.146,82.001
Oneira Ki Oneira,Ilias Andriopoulos,Prosanatolismoi,0.259,0.285,-11.135,0.0283,0.923,0.00187,0.114,0.321,94.689
Monahiki Mousiki,Ilias Andriopoulos,Prosanatolismoi,0.669,0.0265,-17.475,0.105,0.974,0.902,0.0829,0.366,101.668
Ola Ta Kyparissia,Ilias Andriopoulos,Prosanatolismoi,0.419,0.167,-13.75,0.0294,0.951,0.0101,0.103,0.243,97.078
Katanyxi Erimiki,Ilias Andriopoulos,Prosanatolismoi,0.48,0.242,-14.799,0.0492,0.645,0.848,0.146,0.279,173.723
Tin Afouriti Nychtia,Ilias Andriopoulos,Prosanatolismoi,0.283,0.24,-10.916,0.0316,0.689,0.000844,0.113,0.397,103.284
To Stafyli Afto,Ilias Andriopoulos,Prosanatolismoi,0.426,0.274,-9.616,0.0278,0.583,1.15e-06,0.081,0.516,84.273
Poulia Sta Hilia Hromata,Ilias Andriopoulos,Prosanatolismoi,0.604,0.378,-9.101,0.029,0.731,0.000192,0.0751,0.489,71.391
Marazi Tou Erota,Ilias Andriopoulos,Prosanatolismoi,0.471,0.311,-10.959,0.033,0.32,0.138,0.0844,0.59,107.382
Ouranos Katharoaimos,Ilias Andriopoulos,Prosanatolismoi,0.497,0.205,-11.768,0.0309,0.864,1.77e-05,0.0896,0.238,135.487
Amerimnos Anemos,Ilias Andriopoulos,Prosanatolismoi,0.436,0.25,-11.756,0.0413,0.554,0.304,0.128,0.41,105.433
Ola Ta Synnefa,Ilias Andriopoulos,Prosanatolismoi,0.4,0.0314,-19.739,0.055,0.985,0.000136,0.0847,0.28,60.373
Otan Mas Kopsan Ta Ftera,Sotiria Bellou,Oi Xenes Portes,0.3,0.536,-4.675,0.0359,0.812,0.0,0.114,0.499,154.738
Ta Teleftaia Simata,Sotiria Bellou,Oi Xenes Portes,0.604,0.604,-5.146,0.0457,0.79,3.33e-05,0.087,0.433,126.206
Kaimos Paliou Rebeti,Sotiria Bellou,Oi Xenes Portes,0.469,0.502,-4.774,0.037,0.824,0.0,0.073,0.666,146.493
Feggari Makrino,Sotiria Bellou,Oi Xenes Portes,0.432,0.42,-5.529,0.0251,0.843,0.0013,0.25,0.113,94.979
Monahike Mou File,Sotiria Bellou,Oi Xenes Portes,0.485,0.377,-6.508,0.0288,0.912,6.34e-05,0.0955,0.422,144.658
Tis Xenes Portes Min Htypas,Sotiria Bellou,Oi Xenes Portes,0.306,0.596,-4.936,0.0318,0.788,0.0,0.127,0.19,145.882
Ta Magika Pou Sou 'Grapsa Tragoudia,Sotiria Bellou,Oi Xenes Portes,0.648,0.633,-4.124,0.0441,0.839,3.65e-06,0.11,0.535,127.136
Epese Vrohi Ki Ageras,Sotiria Bellou,Oi Xenes Portes,0.491,0.444,-7.49,0.0303,0.804,0.000523,0.0905,0.219,77.817
Me To Trimeno Sou Palto,Sotiria Bellou,Oi Xenes Portes,0.799,0.767,-3.673,0.0402,0.822,0.000126,0.25,0.954,130.929
Tragoudi Tou 1985,Sotiria Bellou,Oi Xenes Portes,0.342,0.343,-8.159,0.0295,0.903,0.0,0.125,0.287,146.142
Motivo Paliou Kairou - Instrumental,Sotiria Bellou,Oi Xenes Portes,0.596,0.343,-7.37,0.0262,0.94,0.88,0.146,0.456,95.56
Epilogos,Sotiria Bellou,Oi Xenes Portes,0.448,0.146,-12.499,0.0334,0.973,0.0,0.186,0.354,131.862
Epitimvio,Various Artists,Kiklos Seferi,0.67,0.492,-9.316,0.0343,0.852,2.42e-06,0.166,0.592,119.058
Emis Pou Xekinisame,Various Artists,Kiklos Seferi,0.361,0.299,-10.727,0.0374,0.694,0.0,0.071,0.547,84.804
Tria Kokkina Peristeria,Various Artists,Kiklos Seferi,0.254,0.389,-10.826,0.0356,0.762,0.0,0.28,0.296,97.179
Sadorini (Stin Alli Zoi),Various Artists,Kiklos Seferi,0.192,0.419,-11.105,0.0373,0.74,0.0,0.107,0.377,189.124
Ki An O Ageras Fisa,Various Artists,Kiklos Seferi,0.431,0.446,-9.832,0.0304,0.577,0.0,0.173,0.607,106.865
Agianagia V' (Sikomouria),Various Artists,Kiklos Seferi,0.565,0.462,-9.483,0.0276,0.813,0.0,0.0742,0.561,106.14
To Ema Sou Pagone,Various Artists,Kiklos Seferi,0.224,0.32,-11.731,0.0337,0.757,1.08e-05,0.569,0.144,105.08
Tris Vrahi / Edo Araxame Karavi,Various Artists,Kiklos Seferi,0.464,0.221,-11.832,0.0563,0.565,0.0,0.14,0.287,94.191
Edo Telionoun Ta Erga Tis Thalassas,Various Artists,Kiklos Seferi,0.506,0.366,-9.301,0.0343,0.733,0.0,0.102,0.608,109.727
Oniro,Various Artists,Kiklos Seferi,0.477,0.5,-9.401,0.0288,0.876,0.0,0.0858,0.6,96.898
Ntomates Gemistes,Irini Qn,Horis To Tokso Stin Arena,0.662,0.51,-8.11,0.0411,0.528,0.0,0.0787,0.698,69.742
